"x" "y"
-13751756 6394720
-13785987 6394484
-13787283 6452094
-13788737 6475620
-13797703 6475670
-13793500 6453106
-13807042 6425090
-13862149 6417176
-13880052 6454557
-13867653 6515737
-13865427 6519860
-13878349 6520351
-13911930 6519380
-13922263 6519280
-13902962 6580609
-13903556 6597984
-13926000 6533316
-13941461 6532445
-13958408 6532445
-13976095 6532103
-13974799 6563121
-14000586 6530790
-14014625 6531281
-14034818 6530940
-14045698 6545579
-14041835 6550541
-14043971 6558151
-13985777 6589267
-13981630 6635797
-14000988 6569373
-14022017 6569272
-14050030 6569081
-14044806 6581346
-14076160 6604991
-14045916 6612793
NA NA
-13702899 6275284
-13707753 6293075
-13707256 6327009
-13676896 6351274
-13722691 6335308
-13721638 6374706
-13772938 6349656
-13805964 6399021
-13774609 6378386
-13751756 6394720
NA NA
-13702899 6275284
-13696248 6275137
NA NA
-13665888 6275186
-13696655 6275750
-13696248 6275137
NA NA
-13665888 6275186
-10592512 6274768
NA NA
-10592512 6274768
-10592353 6339011
NA NA
-10592353 6339011
-10553051 6303184
-10542419 6251846
NA NA
-10392941 6208705
-10444699 6208010
-10542419 6251846
NA NA
-10392941 6208705
-10292319 6170869
-10273580 6160436
-10179235 6114710
NA NA
-10134180 6138471
-10179235 6114710
NA NA
-10134180 6138471
-10112041 6141628
NA NA
-10062101 6123043
-10081337 6122671
-10097569 6122718
-10112041 6141628
NA NA
-10062101 6123043
-9971875 6107319
NA NA
-9971875 6107319
-9971934 6108606
NA NA
-9971934 6108606
-9931923 6178219
-9888941 6184286
-9888443 6164255
-9835045 6246012
-9846481 6197908
-9811357 6242302
-9813985 6271133
-9608724 6214137
-9610083 6211512
NA NA
-9610083 6211512
-9543290 6097382
-9454545 6082808
-9452166 6026086
-9423624 5979009
-9426066 5935904
-9405287 5917167
-9401760 5902176
-9405631 5857159
-9361437 5849077
-9306216 5825909
NA NA
-9306216 5825909
-9089174 5799241
-9089696 5786000
-9087349 5783465
-8980293 5749555
-8925594 5682864
-8918948 5661230
-8916224 5642052
-8867674 5582509
NA NA
-8867674 5582509
-8918450 5583381
-8913067 5540065
-9001442 5567676
-9028563 5583425
-9024793 5606620
-9066008 5659246
-9094518 5659337
-9048480 5575112
-9096125 5450708
-9112614 5352947
-9175042 5314424
NA NA
-9175042 5314424
-9200210 5244394
NA NA
-9250865 5196746
-9175597 5228753
-9200210 5244394
NA NA
-9250865 5196746
-9232401 5159396
-9181874 5165052
-9089760 5232860
NA NA
-9089760 5232860
-8993252 5257079
-8953485 5258344
-8794886 5308503
-8801379 5327623
NA NA
-8800729 5353622
-8801379 5327623
NA NA
-8800729 5353622
-8878529 5353499
-8814148 5428462
-8626733 5457704
-8574598 5461576
-8570950 5473310
-8585448 5473052
-8591137 5488292
-8605615 5487865
-8620081 5487821
-8577692 5481140
-8439376 5543534
NA NA
-8439376 5543534
-8437737 5542622
NA NA
-8437737 5542622
-8313152 5622573
NA NA
-8313152 5622573
-7958694 5624757
NA NA
-7958694 5624757
-7931013 5665889
-7884108 5679078
-7872385 5698335
-7823873 5790945
-7820594 5800041
NA NA
-7820594 5800041
-7798022 5851141
NA NA
-7798022 5851141
-7740631 5970232
-7706924 6019356
NA NA
-7706924 6019356
-7668552 5972822
NA NA
-7668552 5972822
-7580916 5987852
-7546903 5953501
NA NA
-7546903 5953501
-7534503 5724173
-7505623 5715637
NA NA
-7505623 5715637
-7493900 5644946
-7481411 5650337
NA NA
-7188298 5757455
-7254784 5702347
-7351260 5666278
-7356176 5682110
-7355992 5665272
-7447269 5633730
-7481411 5650337
NA NA
-7320026 5395853
-7344237 5427561
-7358556 5427985
-7357535 5522489
-7345691 5550127
-7354072 5547523
-7159820 5666541
-7153607 5641609
-7145411 5638022
-7074072 5681583
-7107933 5681893
-7159353 5682465
-7173456 5682201
-7198784 5682465
-7227262 5682337
-7159513 5758251
-7181155 5753325
-7189255 5759717
-7188298 5757455
NA NA
-6888883 5628520
-7024412 5585249
-7079672 5570590
-7084462 5539028
-7099986 5539376
-7112602 5569585
-7125927 5545832
-7157714 5546092
-7160687 5522016
-7166313 5514062
-7231159 5445813
-7258183 5425548
-7270889 5425036
-7285271 5403195
-7296771 5397006
-7316932 5396874
-7320026 5395853
NA NA
-7099119 5797676
-7120702 5779058
-7026019 5748000
-6985850 5728507
-6910683 5746097
-6891599 5743701
-6818283 5692242
-6828986 5676128
-6796145 5657978
-6810553 5658023
-6827034 5658069
-6888883 5628520
NA NA
-7441426 6106575
-7348689 6095450
-7290310 6053231
-7219869 6065687
-7211890 6054102
-7262297 5964089
-7264370 5955598
-7216126 5937446
-7207777 5893689
-7188916 5833074
-7099119 5797676
NA NA
-7537380 6239958
-7275805 6318523
-7147268 6251274
-7155955 6244045
-7184496 6244606
-7155303 6204075
-7193987 6165886
-7291082 6114481
-7350609 6128278
-7441426 6106575
NA NA
-7936983 5900100
-7816914 5990268
-7637842 6179853
-7537380 6239958
NA NA
-7590069 6299166
-7611590 6298786
-7718430 6176403
-7775787 6137964
-7889830 6162816
-7766941 6118231
-7843785 6012546
-7936983 5900100
NA NA
-6856131 6478957
-6880534 6478757
-7349837 6489922
-7392603 6489782
-7396436 6475232
-7413842 6474465
-7485244 6372708
-7520771 6330855
-7590069 6299166
NA NA
-9598984 5311930
-9627616 5181303
-9703745 5106459
-9723817 5106374
-9775085 5218653
-9781240 5311589
NA NA
-9461070 5744094
-9462741 5689515
-9504332 5642052
-9516668 5620517
-9533365 5605530
-9534297 5649152
-9599234 5558722
-9624554 5451956
-9618246 5363526
-9598984 5311930
NA NA
-9175042 5314424
-9223931 5472626
-9242326 5473096
-9291214 5424268
-9341869 5417676
-9320591 5466088
-9274828 5550387
-9278693 5630181
-9306151 5678597
-9461070 5744094
NA NA
-10064703 5874505
-10115384 5891439
-10115786 5936764
-10253635 5904382
-10048005 6068770
-9971875 6107319
NA NA
-9589736 5890807
-9673378 5857335
-9742677 5891299
-9818131 5927124
-9822519 5927030
-9823355 5931148
-9848248 5922466
-9877032 5973554
-10064703 5874505
NA NA
-9612869 5749821
-9542703 5776120
-9463825 5783731
-9432470 5774386
-9353248 5790991
-9375539 5836205
-9407047 5851001
-9465274 5878645
-9468551 5904158
-9485440 5904205
-9589736 5890807
NA NA
-9781240 5311589
-9745618 5487475
-9731821 5601074
-9798524 5562584
-9682410 5741708
-9635933 5745868
-9642892 5717269
-9612869 5749821
NA NA
-9718402 1458207
-9691875 1459765
NA NA
-9695798 1394779
-9754183 1460237
-9718402 1458207
NA NA
-9538991 1240643
-9695798 1394779
NA NA
-9538991 1240643
-9512554 1247800
-9434262 1235821
-9390381 1231351
NA NA
-9390381 1231351
-9333271 1201846
-9311254 1223600
NA NA
-9321089 1353171
-9319290 1329335
-9328354 1281633
-9313914 1224770
-9311254 1223600
NA NA
-9297151 1522605
-9305628 1388732
-9308996 1414608
-9319756 1384207
-9323130 1365886
-9321089 1353171
NA NA
-9254201 1688556
-9274273 1678924
-9273527 1663893
-9272660 1587733
-9297151 1522605
NA NA
-9544126 1554561
-9477984 1634774
-9434938 1662514
-9380393 1655128
-9254201 1688556
NA NA
-9583307 1579316
-9544126 1554561
NA NA
-9658479 1541060
-9594219 1567366
-9583307 1579316
NA NA
-9674712 1487291
-9652847 1509919
-9658479 1541060
NA NA
-9674712 1487291
